,50PLUS,CDA,CU,D66,DENK,FVD,GL,PvdA,PvdD,PVV,SGP,SP,VVD
50PLUS,"100,0","64,1","65,10000000000001","63,6","51,5","56,49999999999999","60,0","63,5","54,6","21,5","64,5","58,6","62,6"
CDA,"64,1","100,0","88,5","86,0","73,3","66,8","76,5","86,1","65,4","23,5","83,1","76,2","84,2"
CU,"65,10000000000001","88,5","100,0","89,5","71,2","69,1","83,0","89,3","73,1","23,6","88,1","80,9","86,1"
D66,"63,6","86,0","89,5","100,0","70,7","71,1","84,2","88,0","73,7","25,4","85,39999999999998","80,10000000000002","90,3"
DENK,"51,5","73,3","71,2","70,7","100,0","57,2","66,7","72,2","59,5","28,6","64,7","60,8","69,1"
FVD,"56,49999999999999","66,8","69,1","71,1","57,2","100,0","64,7","68,89999999999999","59,7","27,9","72,2","65,10000000000001","73,1"
GL,"60,0","76,5","83,0","84,2","66,7","64,7","100,0","83,7","76,8","26,8","79,0","80,7","79,4"
PvdA,"63,5","86,1","89,3","88,0","72,2","68,89999999999999","83,7","100,0","72,1","23,9","82,69999999999997","82,89999999999998","84,39999999999998"
PvdD,"54,6","65,4","73,1","73,7","59,5","59,7","76,8","72,1","100,0","24,8","72,1","71,2","71,0"
PVV,"21,5","23,5","23,6","25,4","28,6","27,9","26,8","23,9","24,8","100,0","26,5","25,0","27,200000000000006"
SGP,"64,5","83,1","88,1","85,39999999999998","64,7","72,2","79,0","82,69999999999997","72,1","26,5","100,0","79,7","87,0"
SP,"58,6","76,2","80,9","80,10000000000002","60,8","65,10000000000001","80,7","82,89999999999998","71,2","25,0","79,7","100,0","79,5"
VVD,"62,6","84,2","86,1","90,3","69,1","73,1","79,4","84,39999999999998","71,0","27,200000000000006","87,0","79,5","100,0"
